,time,speed,i
584,19.61,3070.5639838559514,116.03895974244523
585,19.744,2943.569376670949,51.20738009578732
586,19.823,2769.8704848159673,61.522021494221114
587,19.853,2723.864390558994,77.24084864365507
588,19.874,2709.2225752568147,86.45361576941616
589,19.929,2725.4270853112725,103.53761909312686
590,19.95,2751.866818190629,109.27461994610415
591,19.974,2788.9858676452873,114.18087559844692
592,20.06,2937.7486806017714,123.50381494678912
593,20.121,3062.0633027094477,118.06453112741927
594,20.16,3078.912521664694,87.6050089919291
595,20.189,3039.710834017832,70.3531303890635
596,20.22,2971.993289610336,64.9705131947556
597,20.261,2913.6071726088326,82.83989668164212
598,20.36,2926.045771462479,107.30580722639598
599,20.389,2962.9006713775752,112.73621001096988
600,20.413,2997.3910306774665,109.01906855573561
601,20.434,3005.9827175868386,93.5930808288015
602,20.455,2989.667662995159,79.48265917222157
603,20.506,2912.096002483425,72.4005234277532
604,20.529,2886.2416161401075,81.40590896010576
605,20.561,2870.4061828927747,92.27158377807625
606,20.578,2871.1888809567895,97.08099344041939
607,20.604,2881.9653696647497,103.1325331155489
608,20.632,2908.167293977907,109.16395123550205
609,20.671,2961.153378673502,115.3112014828216
610,20.694,3002.693468325395,111.98176511875899
611,20.718,3015.685564768411,94.30717554318754
612,20.767,2965.9869067249547,68.1065475271554
613,20.789,2925.6233292991,68.43506173268074
614,20.817,2889.485550388088,79.91507317967242
615,20.833,2875.4367407050286,86.79823962710374
616,20.892,2880.0196645230553,102.55638852342597
617,20.944,2939.695384696978,113.33051363182801
618,20.998,3033.9123614174177,119.82696125895315
619,21.018,3068.906596308744,109.9978247461437
620,21.042,3076.5798360778635,93.28147667900241
621,21.059,3065.5179489200336,82.95622002748246
622,21.078,3039.987145286918,72.42521237240081
623,21.102,2999.8278382752897,74.03163236480879
624,21.146,2959.510785390182,89.44405649177226
625,21.174,2955.662339443656,97.48839656632023
626,21.216,2977.180292204248,106.71802151739267
627,21.384,3124.672830444774,99.76472241008018
628,21.58,2923.7148498816064,45.50654123777351
629,21.615,2836.969439318453,51.738334914486686
630,21.639,2787.3093836664257,64.92686802501454
631,21.69,2738.7449017382046,84.26598862598196
632,21.787,2766.962474701149,107.39814208358835
